id,都道府県id,低料金順位,全国順位,団体名,水道料金（円）,値上げ率（％）,料金回収率（％）,経常収支比率（％）,財政力指数
134,3,16,911,3町,4095,0,89.04,98.65,0.31
135,3,19,983,矢巾町,4287,3.65,134.1,133.92,0.66
136,3,1,263,金ケ崎町,2592,0,109.03,115.62,0.55
137,3,22,1146,平泉町,4892,0,108.56,114.3,0.31
138,3,8,685,大槌町,3477,0,676.62,227.79,0.25
139,3,6,616,山田町,3326,0,102.71,106.56,0.28
140,3,24,1183,軽米町,5118,0,59.58,106.93,0.23
141,3,14,899,九戸村,4059,0,105.24,106.89,0.18
142,3,20,1037,洋野町,4449,0,56.16,101.99,0.23
143,3,17,971,一戸町,4250,0,123.78,123.43,0.33
144,3,18,975,3中部水道企業団,4266,0,106.02,108.35,-
145,4,9,954,仙台市,4212,0,101.35,112.03,0.91
146,4,8,948,塩竈市,4190,0,118.46,123.74,0.51
147,4,5,930,気仙沼市,4114,0,94.33,100.2,0.41
148,4,29,1244,白石市,5994,0,101.98,119.78,0.47
149,4,11,1024,名取市,4428,-2.38,133.3,141.16,0.8
150,4,18,1148,角田市,4910,0,93.55,99.42,0.5
151,4,17,1147,多賀城市,4903,0,99.73,106.44,0.68
152,4,4,920,岩沼市,4104,0,102.16,107.86,0.82
153,4,21,1197,登米市,5256,0,102.73,108.39,0.36
154,4,25,1223,栗原市,5505,0,96.8,106.01,0.32
155,4,19,1171,大崎市,5036,0,101.06,107.47,0.51
156,4,2,827,富谷市,3877,0,102.42,110.41,0.8
157,4,23,1214,蔵王町,5400,0,102.07,117.16,0.47
158,4,13,1053,大河原町,4503,0,118.6,128.33,0.61
159,4,20,1177,村田町,5076,0,97.1,121.63,0.43
160,4,22,1203,柴田町,5292,0,118.24,123.1,0.62
161,4,26,1227,川崎町,5562,0,86.62,103.6,0.31
162,4,31,1255,丸森町,6440,0,105.63,115.86,0.29
163,4,12,1040,亘理町,4460,0,113.87,119.7,0.55
164,4,24,1221,山元町,5454,0,94.19,116.11,0.35
165,4,27,1234,松島町,5720,0,102.52,105.23,0.45
166,4,14,1105,七ケ浜町,4690,0,88.49,109.23,0.59
167,4,10,983,利府町,4287,0,111.46,114.84,0.84
168,4,16,1131,大和町,4806,0,83.66,107.58,0.78
169,4,33,1260,大郷町,6804,0,104.7,107.39,0.42
170,4,28,1235,大衡村,5724,0,94.9,105.56,0.69
171,4,3,918,色麻町,4102,0,111.04,110.37,0.29
172,4,7,947,加美町,4189,0,96.22,103.62,0.33
173,4,32,1259,涌谷町,6660,0,109.36,110.71,0.36
174,4,30,1249,美里町,6080,0,96.48,100.51,0.42
175,4,1,192,女川町,2440,0,72.05,89.27,0.99
176,4,15,1117,南三陸町,4752,0,93.32,110.32,0.29
177,4,6,934,石巻地方広域水道企業団,4147,0,112.11,118.87,-
178,5,5,625,秋田市,3348,0,123.18,122.76,0.66
179,5,11,873,能代市,3996,0,116.21,120.25,0.44
180,5,10,856,横手市,3942,0,97.41,103.79,0.33
181,5,17,1177,大館市,5076,0,103.72,109.39,0.42
182,5,3,555,男鹿市,3152,0,96.69,105.77,0.36
183,5,14,891,湯沢市,4042,4.2,97.26,107.94,0.29
184,5,15,966,鹿角市,4240,0,103.86,107.95,0.32
185,5,11,873,由利本荘市,3996,0,115.47,118.52,0.33
186,5,8,813,潟上市,3805,0,99.64,108.37,0.34
187,5,4,604,大仙市,3280,0,125.46,125.17,0.34
188,5,2,235,北秋田市,2515,0,117.45,121.83,0.26
189,5,1,86,にかほ市,2140,0,109.63,115.4,0.38
190,5,13,885,仙北市,4026,2.13,104.91,111.12,0.25
191,5,19,1211,小坂町,5389,0,55.88,108.44,0.3
192,5,6,631,三種町,3363,0,139.23,133.01,0.25
193,5,9,836,五城目町,3888,0,98.83,107.36,0.25
194,5,18,1190,八郎潟町,5180,0,102.72,105.77,0.26
195,5,7,723,井川町,3560,0,119.14,125.99,0.23
